"Type","Date","Part.of.a.policing.operation","Policing.operation","Latitude","Longitude","Gender","Age.range","Self.defined.ethnicity","Officer.defined.ethnicity","Legislation","Object.of.search","Outcome","Outcome.linked.to.object.of.search","Removal.of.more.than.just.outer.clothing","lsoa21cd","lsoa21nm"
"Person search","2019-06-01T23:13:00+00:00","True",NA,53.482818,-2.238715,"","18-24","White - English/Welsh/Scottish/Northern Irish/British","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal","","False","E01033658","Manchester 054C"
"Person and Vehicle search","2019-06-01T23:30:00+00:00","False",NA,53.61993,-2.154889,"Male","18-24","White - English/Welsh/Scottish/Northern Irish/British","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal","","False","E01005482","Rochdale 010C"
"Person and Vehicle search","2019-06-01T23:30:00+00:00","False",NA,53.61993,-2.154889,"Male","","White - English/Welsh/Scottish/Northern Irish/British","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal","","False","E01005482","Rochdale 010C"
"Person search","2019-06-01T23:45:00+00:00","True",NA,53.479028,-2.246198,"Male","10-17","Asian/Asian British - Any other Asian background","Asian","Police and Criminal Evidence Act 1984 (section 1)","Offensive weapons","A no further action disposal","","False","E01033658","Manchester 054C"
"Person search","2019-06-02T01:25:00+00:00","False",NA,53.634911,-2.107987,"Male","10-17","White - English/Welsh/Scottish/Northern Irish/British","White","Police and Criminal Evidence Act 1984 (section 1)","Article for use in theft","Arrest","False","False","E01005516","Rochdale 003A"
"Person search","2019-06-02T02:54:00+00:00","False",NA,53.479532,-2.250133,"Male","25-34","White - Any other White background","White","Police and Criminal Evidence Act 1984 (section 1)","Stolen goods","A no further action disposal","","False","E01033658","Manchester 054C"
"Person search","2019-06-02T09:45:00+00:00","False",NA,53.510868,-2.130515,"Female","10-17","White - English/Welsh/Scottish/Northern Irish/British","White","Police and Criminal Evidence Act 1984 (section 1)","Offensive weapons","A no further action disposal","","False","E01005380","Oldham 030C"
"Person search","2019-06-02T14:05:00+00:00","False",NA,53.594708,-2.304722,"Male","","White - Any other White background","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal","","False","E01004979","Bury 008C"
"Person search","2019-06-02T15:00:00+00:00","False",NA,53.533372,-2.654288,"Male","over 34","White - English/Welsh/Scottish/Northern Irish/British","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal","","False","E01006404","Wigan 015C"
"Person and Vehicle search","2019-06-02T15:30:00+00:00","False",NA,53.60951,-2.156453,"Male","","Asian/Asian British - Pakistani","Asian","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","Summons / charged by post","False","False","E01005485","Rochdale 015D"
"Person and Vehicle search","2019-06-02T15:30:00+00:00","False",NA,53.60951,-2.156453,"","18-24","Asian/Asian British - Pakistani","Asian","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","Summons / charged by post","False","False","E01005485","Rochdale 015D"
"Person and Vehicle search","2019-06-02T16:21:00+00:00","False",NA,53.589195,-2.462686,"Male","","Asian/Asian British - Pakistani","Asian","Police and Criminal Evidence Act 1984 (section 1)","","A no further action disposal","","False","E01004921","Bolton 008C"
"Person and Vehicle search","2019-06-02T17:45:00+00:00","False",NA,53.60951,-2.156453,"Male","25-34","Asian/Asian British - Pakistani","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","Khat or Cannabis warning","True","False","E01005485","Rochdale 015D"
"Vehicle search","2019-06-02T17:45:00+00:00","False",NA,53.60951,-2.156453,"","","","","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","Khat or Cannabis warning","True","False","E01005485","Rochdale 015D"
"Person search","2019-06-02T18:20:00+00:00","True",NA,53.48597,-2.244836,"Male","25-34","White - English/Welsh/Scottish/Northern Irish/British","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","Khat or Cannabis warning","True","False","E01033658","Manchester 054C"
"Person search","2019-06-02T19:15:00+00:00","True",NA,53.480434,-2.235357,"Male","","White - English/Welsh/Scottish/Northern Irish/British","White","Police and Criminal Evidence Act 1984 (section 1)","Offensive weapons","A no further action disposal","","False","E01033653","Manchester 055B"
"Person and Vehicle search","2019-06-02T20:32:00+00:00","False",NA,53.608093,-2.160907,"Male","over 34","Asian/Asian British - Pakistani","Asian","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal","","False","E01005485","Rochdale 015D"
"Person search","2019-06-02T20:32:00+00:00","False",NA,53.608093,-2.160907,"Male","25-34","Asian/Asian British - Pakistani","Asian","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal","","False","E01005485","Rochdale 015D"
"Person search","2019-06-02T20:32:00+00:00","False",NA,53.608093,-2.160907,"","25-34","Asian/Asian British - Pakistani","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal","","False","E01005485","Rochdale 015D"
"Person search","2019-06-02T20:42:00+00:00","False",NA,53.500557,-2.520167,"Male","","White - Any other White background","White","Police and Criminal Evidence Act 1984 (section 1)","Article for use in theft","A no further action disposal","","False","E01006334","Wigan 030C"
"Person search","2019-06-02T20:45:00+00:00","False",NA,53.438231,-2.160956,"Male","18-24","White - English/Welsh/Scottish/Northern Irish/British","White","Misuse of Drugs Act 1971 (section 23)","Controlled drugs","A no further action disposal","","False","E01005893","Stockport 002C"
"Person search","2019-06-02T23:38:00+00:00","False",NA,53.589738,-2.22332,"Male","10-17","White - English/Welsh/Scottish/Northern Irish/British","White","Police and Criminal Evidence Act 1984 (section 1)","Article for use in theft","A no further action disposal","","False","E01005504","Rochdale 018D"
"Person search","2019-06-02T23:45:00+00:00","False",NA,53.547871,-2.197276,"Male","10-17","White - English/Welsh/Scottish/Northern Irish/British","White","Police and Criminal Evidence Act 1984 (section 1)","Article for use in theft","A no further action disposal","","False","E01005539","Rochdale 024B"
"Person and Vehicle search","2019-06-03T02:10:00+00:00","False",NA,53.548824,-2.6324,"Male","25-34","White - English/Welsh/Scottish/Northern Irish/British","White","Police and Criminal Evidence Act 1984 (section 1)","Article for use in theft","A no further action disposal","","False","E01006369","Wigan 008C"
"Person search","2019-06-03T02:10:00+00:00","False",NA,53.548824,-2.6324,"Male","25-34","White - English/Welsh/Scottish/Northern Irish/British","White","Police and Criminal Evidence Act 1984 (section 1)","Article for use in theft","A no further action disposal","","False","E01006369","Wigan 008C"
